Date,Open,High,Low,Close,Adj Close,Volume
2023-09-23,4.019329,4.036120,4.005505,4.032540,4.032540,60313482
2023-09-24,4.032538,4.056786,3.985094,3.990195,3.990195,66771867
2023-09-25,3.990417,4.086167,3.972742,4.064115,4.064115,99085397
2023-09-26,4.064018,4.087616,3.993155,4.014101,4.014101,91992477
2023-09-27,4.013869,4.069361,3.971050,3.990727,3.990727,75472569
2023-09-28,3.990696,4.094013,3.984987,4.074661,4.074661,83423727
2023-09-29,4.074631,4.112712,4.063875,4.077262,4.077262,74285652
2023-09-30,4.077209,4.115924,4.074867,4.105618,4.105618,51458101
2023-10-01,4.105477,4.279937,4.103880,4.261009,4.261009,82943342
2023-10-02,4.260790,4.297646,4.103482,4.123762,4.123762,115298155
2023-10-03,4.123038,4.159030,4.056304,4.074247,4.074247,59966101
2023-10-04,4.074287,4.075451,3.994714,4.047316,4.047316,73143922
2023-10-05,4.047332,4.072005,4.010641,4.022738,4.022738,56530006
2023-10-06,4.022652,4.092491,4.006032,4.072149,4.072149,52328321
2023-10-07,4.072028,4.111029,4.054784,4.056447,4.056447,40367505
2023-10-08,4.055929,4.073116,4.006164,4.014286,4.014286,50702115
2023-10-09,4.014154,4.027660,3.794306,3.877219,3.877219,111810840
2023-10-10,3.877038,3.891209,3.784758,3.812432,3.812432,73969885
2023-10-11,3.812494,3.821716,3.705352,3.738058,3.738058,76263823
2023-10-12,3.737694,3.738851,3.641686,3.673597,3.673597,76835167
2023-10-13,3.673635,3.762178,3.670195,3.721198,3.721198,60969633
2023-10-14,3.721599,3.759431,3.720974,3.736276,3.736276,40015361
2023-10-15,3.736321,3.773152,3.712030,3.754978,3.754978,55133272
2023-10-16,3.755053,3.871039,3.742241,3.786211,3.786211,104165497
2023-10-17,3.785982,3.785982,3.662231,3.675057,3.675057,72585706
2023-10-18,3.675154,3.720717,3.636680,3.656549,3.656549,62395387
2023-10-19,3.656433,3.657439,3.607706,3.648878,3.648878,78858521
2023-10-20,3.649169,3.798369,3.641499,3.721275,3.721275,103783716
2023-10-21,3.721239,3.966395,3.712710,3.904405,3.904405,102109347
